County,State,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800
Clinton,17,"33,944","32,617","28,315","24,029","22,594","22,912","21,369","22,947","22,832","19,824","17,411","18,714","16,285","10,941","5,139","3,718","2,330",,,
Jersey,17,"20,539","20,538","18,492","17,023","15,264","13,636","12,556","12,682","13,954","14,612","14,810","15,542","15,054","12,051","7,354","4,535",,,,
Madison,17,"249,238","247,691","250,934","224,689","182,307","149,349","143,830","106,895","89,847","64,694","51,535","50,126","44,131","31,251","20,441","14,433","6,221","13,550",,
Monroe,17,"22,422","20,117","18,831","15,507","13,282","12,754","12,369","12,839","13,508","13,847","12,948","13,682","12,982","12,832","7,679","4,481","2,000","1,537",,
St. Clair,17,"262,852","267,531","285,176","262,509","205,995","166,899","157,775","136,520","119,870","86,685","66,571","61,806","51,068","37,694","20,180","13,631","7,078","5,253","5,007","1,355"
Franklin,29,"80,603","71,233","55,116","44,566","36,046","33,868","30,519","28,427","29,830","30,581","28,056","26,534","30,098","18,085","11,021","7,515","3,484","2,379",,
Jefferson,29,"171,380","146,183","105,248","66,377","38,007","32,023","27,563","26,555","27,878","25,712","22,484","18,736","15,380","10,344","6,928","4,296","2,592","1,835",,
Lincoln,29,"28,892","22,193","18,041","14,783","13,478","14,395","13,929","15,956","17,033","18,352","18,346","17,426","15,960","14,210","9,421","7,449","4,059","1,662",,
St. Charles,29,"212,907","144,107","92,954","52,970","29,834","25,562","24,354","22,828","24,695","24,474","22,977","23,065","21,304","16,523","11,454","7,911","4,320","3,970","3,505",
St. Louis ,29,"993,529","973,896","951,353","703,532","406,349","274,230","211,593","100,737","82,417","50,040","36,307","31,888","351,189","190,524","104,978","35,979","14,125","10,049","5,667",
St. Louis city,29,"396,685","453,085","622,236","750,026","856,796","816,048","821,960","772,897","687,029","575,238","451,770","350,518",,,,,,,,
Warren,29,"19,534","14,900","9,699","8,750","7,666","7,734","8,082","8,490","9,123","9,919","9,913","10,806","9,673","8,839","5,860","4,253",,,,